"taxon_name","Mass_g","activity_nocturnal","diet","diet_carnivore","diet_granivore","diet_herbivore","diet_inflorescence","diet_invertivore","diet_omnivore","dispersal_HWI","dominant_pyrome","litter_size_n","nest_branch","nest_burrow","nest_cave","nest_ground","nest_hollows","nesting","pyrome_breadth","stratum","stratum_aerial","stratum_arboreal_insessorial","stratum_terrestrial","max_longevity_d","activity_cathemeral","activity_crepuscular","activity_diurnal","dispersal_km","home_range_km2","litters_per_year_n","n_offspring_year","stratum_CWD","stratum_aquatic","stratum_fossorial","stratum_grass_hummock","stratum_saxicolous","hibernation_torpor","volant","COMMON_NAME","TaxaGroup","TAXON_ID","TAXON_TYPE"
"Parasuta spectabilis","23.4422881531992","1","carnivore","1","0","0","0","0","0",NA,"1",3,"0",NA,"0",NA,"0",NA,"6","terrestrial","0","0","1",2191.68,0,"0","0",0.5,0.5,1,3,"0","0","0","0","0","1","0","Port Lincoln Snake","Reptiles",12813,"Reptiles"
"Pardalotus punctatus punctatus","8.7","0","invertivore","0","0","0","0","1","0","24.8","1",4.2,"1","0","0","0","0","branch","8","insessorial","0","1","0",NA,NA,NA,NA,NA,NA,1,4.2,NA,"0","0",NA,"0","0","1","Spotted Pardalote","Birds",10565,"Passerine birds"
"Pardalotus striatus","11.4","0","invertivore","0","0","0","0","1","0","28","1",4,"0","0","0","0","1","hollows","8","insessorial","0","1","0",NA,NA,NA,NA,NA,NA,1,4,NA,"0","0",NA,"0","0","1","Striated Pardalote","Birds",10976,"Passerine birds"
"Pedionomus torquatus","62.5","0","omnivore","0","0","0","0","0","1","30.6","14",4,"0","0","0","1","0","ground","4","terrestrial","0","0","1",NA,NA,NA,NA,NA,NA,1,4,NA,"0","0",NA,"0","0","1","Plains-wanderer","Birds",10020,"Other Non-passerine birds"
"Pelecanus conspicillatus","5505","0","carnivore","1","0","0","0","0","0","47","3",2,"0","0","0","1","0","ground","8","aquatic","0","0","0",18250,NA,NA,NA,NA,NA,1,2,NA,"0","0",NA,"0","0","1","Australian Pelican","Birds",10106,"Other Non-passerine birds"
"Peltohyas australis","83.5",NA,"omnivore","0","0","0","0","0","1","51.3","3",3,NA,"0","0",NA,NA,NA,"6","terrestrial","0","0","1",NA,NA,NA,NA,NA,NA,1,3,NA,"0","0",NA,"0","0","1","Inland Dotterel","Birds",10145,"Other Non-passerine birds"
"Perameles nasuta","720.26","1","omnivore","1","0","1","0","1","1",NA,"4",2.565,"0","0","0","1","0","ground","5","terrestrial","0","0","1",2044,0,"0","0",0.885,NA,2.92,7.4898,NA,"0","1",NA,NA,"1","0","Long-nosed Bandicoot","Mammals",11097,"Mammals"
"Petauroides volans","1141","1","herbivore","0","0","1","0","0","0",NA,"4",1,"0","0","0","0","1","hollows","4","arboreal","0","1","1",5475,0,"0","0",1.14,0.01,1,1,NA,"0","1",NA,NA,"1","1","Greater Glider","Mammals",11133,"Mammals"
"Petaurus australis","572.5","1","inflorescence","1","0","1","1","1","0",NA,"4",1,"0","0","0","0","1","hollows","4","arboreal","0","1","1",5840,0,"0","0",0.78,0.36,1,1,NA,"0","1",NA,NA,"1","1","Yellow-bellied Glider","Mammals",11136,"Mammals"
"Petaurus breviceps","127.55","1","inflorescence","1","0","1","1","1","0",NA,"1",2,"0","0","0","0","1","hollows","7","arboreal","0","1","1",6497,0,"0","0",0.342,0.01,1.3,2.6,NA,"0","1",NA,NA,"1","1","Sugar Glider","Mammals",11138,"Mammals"
