"TaxonCode","ScientificName","CommonName","LifeForm","HabitatVicForest","Broad_habitat","OpenCountryTolernat_Jradford","FeedGuild","Diet_viaHlada_simplifiedARI_ReadersDigest","NestGuildVicForest","HollowDep","Status","Migration","TaxonGroup","Weight_mean.g","BroodSize_mean","Egg_mass_Lislevand_g","Mating_System_Lislevand","genus"
10545,"Artamus superciliosus","White-browed Woodswallow","Passerine Birds","F","F","T","A","I","V",0,0,"SE","otherFBirds",35,2.5,4.51913043478261,2.0952380952381,"Artamus"
10547,"Artamus cyanopterus","Dusky Woodswallow","Passerine Birds","F","F","F","A","I","V",0,0,"SP","otherFBirds",35,2.5,3.3,2,"Artamus"
10633,"Manorina melanophrys","Bell Miner","Passerine Birds","F","F","F","N","I","V",0,0,"N","otherFBirds",30,2,3.15,2,"Manorina"
10324,"Todiramphus macleayii","Forest Kingfisher","Non-passerine Birds","F","F","F","V","C","X",0,1,"V","otherFBirds",37.5,4.3,6.2,2,"Todiramphus"
10001,"Dromaius novaehollandiae","Emu","Non-passerine Birds","F","F","F","SIG","F","G",0,0,"N","otherFBirds200g",42500,4.1,68.4,2.5,"Dromaius"
10007,"Leipoa ocellata","Malleefowl","Non-passerine Birds","F","F","F","SIG","F","G",0,1,"N","otherFBirds200g",2000,4.1,68.4,2.5,"Leipoa"
10034,"Phaps chalcoptera","Common Bronzewing","Non-passerine Birds","F","F","F","SG","G","V",0,0,"N","otherFBirds200g",335,1,10.8,2,"Phaps"
10176,"Ardeotis australis","Australian Bustard","Non-passerine Birds","F","S","O","W","O","W",0,0,"N","otherFBirds200g",5500,1.7,136,2.5,"Ardeotis"
10313,"Podargus strigoides","Tawny Frogmouth","Non-passerine Birds","F","F","F","V","I","V",0,0,"N","otherFBirds200g",315,2,25,2,"Podargus"
10322,"Dacelo novaeguineae","Laughing Kookaburra","Non-passerine Birds","F","F","T","V","C","LH",1,0,"N","otherFBirds200g",345,3,30.4,2,"Dacelo"
10347,"Eudynamys orientalis","Eastern Koel","Non-passerine Birds","F","F","T","C","F","X",0,1,"V","otherFBirds200g",245,4.1,68.4,2.5,"Eudynamys"
10348,"Scythrops novaehollandiae","Channel-billed Cuckoo","Non-passerine Birds","F","F","F","V","F","X",0,1,"V","otherFBirds200g",747.5,2.1,18.2,2.5,"Scythrops"
10008,"Alectura lathami","Australian Brush-turkey","Non-passerine Birds","F","F","T","SIG","O","G",0,0,"X","otherFBirds200g",2300,14.8,190,4,"Alectura"
10254,"Trichoglossus haematodus","Rainbow Lorikeet","Non-passerine Birds","F","F","T","N","N","LH",1,0,"N","parrots",125,2,8.25,2,"Trichoglossus"
10256,"Trichoglossus chlorolepidotus","Scaly-breasted Lorikeet","Non-passerine Birds","F","F","F","N","N","LH",1,0,"N","parrots",75,2,5.7,2,"Trichoglossus"
10258,"Glossopsitta concinna","Musk Lorikeet","Non-passerine Birds","F","F","F","N","N","LH",1,0,"C","parrots",70,2,5.7,2,"Glossopsitta"
10259,"Glossopsitta porphyrocephala","Purple-crowned Lorikeet","Non-passerine Birds","F","F","F","N","N","SH",1,0,"C","parrots",45,3,3.05,2,"Glossopsitta"
10260,"Glossopsitta pusilla","Little Lorikeet","Non-passerine Birds","F","F","F","N","N","SH",1,0,"C","parrots",40,4,2.88,2,"Glossopsitta"
10274,"Nymphicus hollandicus","Cockatiel","Non-passerine Birds","O","S","T","SG","G","LH",1,0,"N","parrots",90,4.3,5.68,2,"Nymphicus"
10277,"Polytelis swainsonii","Superb Parrot","Non-passerine Birds","F","F","T","ST","FG","LH",1,0,"S","parrots",145,5,8.1,2,"Polytelis"
10278,"Polytelis anthopeplus monarchoides","Regent Parrot","Non-passerine Birds","F","F","T","ST","FG","LH",1,0,"N","parrots",175,5,8.1,2,"Polytelis"
10281,"Alisterus scapularis","Australian King-Parrot","Non-passerine Birds","F","F","F","F","F","LH",1,0,"N","parrots",242.5,4.5,13.3,2,"Alisterus"
10282,"Platycercus elegans","Crimson Rosella","Non-passerine Birds","F","F","F","ST","FG","LH",1,0,"N","parrots",135,5.5,8.15,2,"Platycercus"
10288,"Platycercus eximius","Eastern Rosella","Non-passerine Birds","O","O","T","SG","G","LH",1,0,"N","parrots",105,5.5,7.05,2,"Platycercus"
10295,"Psephotus haematonotus","Red-rumped Parrot","Non-passerine Birds","O","O","T","SG","G","LH",1,0,"N","parrots",62.5,5,4.5,2,"Psephotus"
10296,"Psephotus varius","Mulga Parrot","Non-passerine Birds","F","F","F","SG","G","LH",1,0,"N","parrots",55,6,4.45,2,"Psephotus"
10297,"Northiella haematogaster","Blue Bonnet","Non-passerine Birds","F","F","T","SG","G","LH",1,0,"N","parrots",85,5,5.2,2,"Northiella"
10302,"Neophema pulchella","Turquoise Parrot","Non-passerine Birds","F","F","F","SG","G","SH",1,0,"N","parrots",40,4.5,3.9,2,"Neophema"
10303,"Neophema splendida","Scarlet-chested Parrot","Non-passerine Birds","F","F","T","SG","G","SH",1,0,"C","parrots",41,4,4.15,2,"Neophema"
10305,"Neophema chrysogaster","Orange-bellied Parrot","Non-passerine Birds","O","S","O","SG","G","X",1,0,"W","parrots",45,4.3,3.85,2,"Neophema"
10306,"Neophema chrysostoma","Blue-winged Parrot","Non-passerine Birds","F","F","T","SG","G","SH",1,0,"W","parrots",55,5,4.2,2,"Neophema"
10307,"Neophema elegans","Elegant Parrot","Non-passerine Birds","F","F","O","SG","G","SH",1,0,"L","parrots",45,5.5,3.75,2,"Neophema"
10309,"Lathamus discolor","Swift Parrot","Non-passerine Birds","F","F","F","N","N","X",1,0,"W","parrots",65,4.5,5.95,2,"Lathamus"
10310,"Melopsittacus undulatus","Budgerigar","Non-passerine Birds","F","F","T","SG","G","SH",1,0,"E","parrots",30,4.9,2.15,2,"Melopsittacus"
10311,"Pezoporus wallicus wallicus","Ground Parrot","Non-passerine Birds","O","F","T","SG","G","G",0,0,"N","parrots",80,4.9,2.15,2,"Pezoporus"
10312,"Pezoporus occidentalis","Night Parrot","AVES","O","S","T","SG","G","G",0,0,"C","parrots",0,4,3.1,2,"Pezoporus"
60294,"Barnardius zonarius zonarius","Australian Ringneck","Non-passerine Birds","F","F","F","ST","FG","LH",1,0,"N","parrots",162.5,5.5,8.8,2,"Barnardius"
10357,"Hirundo neoxena","Welcome Swallow","Passerine Birds","O","O","O","A","I","Ledge",0,0,"L","passerine10g",14.5,4,1.94538461538462,2,"Hirundo"
10358,"Cheramoeca leucosternus","White-backed Swallow","Passerine Birds","O","S","T","A","I","B",0,0,"S","passerine10g",13,5,1.94538461538462,2.03571428571429,"Cheramoeca"
10359,"Hirundo nigricans","Tree Martin","Passerine Birds","F","F","F","A","I","SH",1,0,"S","passerine10g",15,3.5,1.6,2,"Hirundo"
10360,"Hirundo ariel","Fairy Martin","Passerine Birds","O","O","O","A","I","Ledge",0,0,"S","passerine10g",11.5,4.5,1.94538461538462,2.03571428571429,"Hirundo"
10365,"Myiagra rubecula","Leaden Flycatcher","Passerine Birds","F","F","F","C","I","V",0,0,"S","passerine10g",12,2.5,1.95,2,"Myiagra"
10366,"Myiagra cyanoleuca","Satin Flycatcher","Passerine Birds","F","F","F","C","I","V",0,0,"S","passerine10g",17,2,1.94538461538462,2.03571428571429,"Myiagra"
10369,"Myiagra inquieta","Restless Flycatcher","Passerine Birds","F","F","F","OT","I","V",0,0,"N","passerine10g",14,3,2.65,2,"Myiagra"
10377,"Microeca fascinans","Jacky Winter","Passerine Birds","F","F","F","OT","I","V",0,0,"N","passerine10g",15,2,1.94538461538462,2,"Microeca"
10448,"Epthianura albifrons","White-fronted Chat","Passerine Birds","O","S","T","OS","I","V",0,0,"N","passerine10g",13,3,1.65,2,"Epthianura"
10449,"Epthianura tricolor","Crimson Chat","Passerine Birds","O","S","O","OS","I","V",0,0,"S","passerine10g",11,3.5,1.4,2,"Epthianura"
10450,"Epthianura aurifrons","Orange Chat","Passerine Birds","O","S","T","OS","I","V",0,0,"C","passerine10g",11,2.9,1.56,2,"Epthianura"
10466,"Aphelocephala leucopsis","Southern Whiteface","Passerine Birds","O","O","F","OG","I","SH",1,0,"N","passerine10g",13,4,2,2.03571428571429,"Aphelocephala"
10488,"Sericornis frontalis","White-browed Scrubwren","Passerine Birds","F","F","F","DG","I","V",0,0,"N","passerine10g",14,2.5,2.45,2,"Sericornis"
10497,"Pyrrholaemus brunneus","Redthroat","Passerine Birds","O","S","F","LS","I","V",0,0,"N","passerine10g",12,3,2.04,2,"Pyrrholaemus"
10498,"Calamanthus pyrrhopygius","Chestnut-rumped Heathwren","Passerine Birds","F","F","F","OT","I","V",0,0,"N","passerine10g",17,2.5,2.15,2.03571428571429,"Calamanthus"
10499,"Calamanthus cautus","Shy Heathwren","Passerine Birds","F","F","F","OT","I","V",0,0,"N","passerine10g",15,3,2.68,2,"Calamanthus"
10500,"Calamanthus fuliginosus","Striated Fieldwren","AVES","O","S","F","LS","I","V",0,0,"N","passerine10g",20,3,2.97,2.03571428571429,"Calamanthus"
10502,"Calamanthus campestris","Rufous Fieldwren","Passerine Birds","O","S","F","LS","I","V",0,0,"N","passerine10g",14,3,1.94538461538462,2,"Calamanthus"
10504,"Chthonicola sagittata","Speckled Warbler","Passerine Birds","F","F","F","OT","I","V",0,0,"N","passerine10g",14,3,2.3,2,"Chthonicola"
10513,"Amytornis striatus striatus","Striated Grasswren","Passerine Birds","F","F","F","OS","I","V",0,0,"N","passerine10g",18,2.5,2.77,2,"Amytornis"
10522,"Megalurus gramineus","Little Grassbird","Passerine Birds","O","S","O","W","I","W",0,0,"N","passerine10g",14,4,1.72,2,"Megalurus"
10524,"Acrocephalus stentoreus","Clamorous Reed Warbler","Passerine Birds","W","W","O","W","I","W",0,0,"S","passerine10g",20,3.5,1.94538461538462,2.03571428571429,"Acrocephalus"
10529,"Malurus cyaneus","Superb Fairy-wren","Passerine Birds","F","F","F","OT","I","V",0,0,"N","passerine10g",10.5,3.5,1.41,2,"Malurus"
10549,"Daphoenositta chrysoptera","Varied Sittella","Passerine Birds","F","F","F","B","I","V",0,0,"N","passerine10g",13,3,1.94538461538462,2,"Daphoenositta"
10574,"Zosterops lateralis","Silvereye","Passerine Birds","F","F","F","F","I","V",0,0,"L","passerine10g",11,3,1.3,2,"Zosterops"
